country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285,0.285,0.285,0.285,0.347,0.347,0.347,0.347,0.266,0.266,0.266,0,0,0,0.442,0.442,0.442,0.442,0.436,0.436,0.436,0.339,0.339,0.339,0.341,0.341,0.341,0.311,0.311,0.311
Kazakhstan,,,,,,,,,,,,,,,,,,,,,0.643,0.643,0.643,0.643,0.711,0.711,0.711,0.711,0.711,0.484,0.67,0.67,0.575,0.575,0.575,0.575,0.727,0.569,0.569,0.569,0.708,0.584,0.584,0.584
Kenya,,,,,,,,,,,,,,,,,,0.464,0.464,0.464,0.464,0.464,0.337,0.337,0.337,0.337,0.337,0.385,0.385,0.385,0.385,0.385,0.545,0.545,0.545,0.545,0.545,0.545,0.556,0.556,0.556,0.556,0.614,0.614
Kuwait,0.119,0,0,0,0,0,0.0826,0.0826,0.0826,0.0826,0.0846,0,0,0,0,0.0846,0,0.184,0.184,0.184,0.184,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.194,0.194,0.123,0.123,0.123,0.123,0.129,0.122,0.122,0.122,0.122,0.122,0.122
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,0.73,0.73,0.73,0.73,0.73,0.743,0.743,0.743,0.743,0.743,0.658,0.658,0.636,0.636,0.672,0.456,0.521,0.521,0.521,0.521,0.425,0.425,0.451,0.451
Lao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.903,0.903,0.903,0.903,0.903,0.886,0.886,0.886,0.886,0.89,0.89,0.89,0.89,0.89,0.882,0.882,0.882,0.882,0.882,0.873,0.873,0.873
Latvia,,,,,,,,,,,,,,,,,,,0.577,0.577,0.506,0.506,0.506,0.519,0.519,0.519,0.519,0.551,0.551,0.551,0.551,0.502,0.502,0.502,0.502,0.525,0.53,0.53,0.53,0.517,0.517,0.517,0.517,0.535
Lebanon,,,,,,,,,,,,,,,,,,0.614,0.614,0.614,0.614,0.808,0.808,0.808,0.808,0.611,0.611,0.611,0.611,0.611,0.548,0.548,0.548,0.548,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.425
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596,0.596,0,0,0,0.617,0,0,0,0.496,0.496,0.496,0.496,0.496,0.386,0.386,0.386,0.386,0.386,0.503,0.503,0.503,0.498,0.498,0.481,0.481
Liberia,,,,,,,0,0,0,0,,,,,,0,0,0,0,0,0,0,,,,,,,,0,0.706,0.706,0.706,0.706,0.706,0.706,0.674,0.674,0.674,0.674,0.674,0.674,0.708,0.708
